group,filter,week,unique_users,new_users,cumulative_users
VPN,Unmatched (UK),2022-07-12,234,75,3614
VPN,Unmatched (UK),2022-07-19,193,51,3665
VPN,Unmatched (UK),2022-07-26,211,64,3729
VPN,Unmatched (UK),2022-08-02,229,66,3795
VPN,Unmatched (UK),2022-08-09,240,76,3871
VPN,Unmatched (UK),2022-08-16,237,70,3941
VPN,Unmatched (UK),2022-08-23,266,77,4018
VPN,Unmatched (UK),2022-08-30,247,69,4087
VPN,Unmatched (UK),2022-09-06,264,76,4163
VPN,Unmatched (UK),2022-09-13,232,64,4227
VPN,Unmatched (UK),2022-09-20,228,67,4294
VPN,Unmatched (UK),2022-09-27,228,48,4342
VPN,Unmatched (UK),2022-10-04,252,64,4406
VPN,Unmatched (UK),2022-10-11,259,60,4466
VPN,Unmatched (UK),2022-10-18,279,71,4537
VPN,Unmatched (UK),2022-10-25,255,61,4598
VPN,Unmatched (UK),2022-11-01,258,72,4670
VPN,Unmatched (UK),2022-11-08,265,68,4738
VPN,Unmatched (UK),2022-11-15,223,47,4785
VPN,Unmatched (UK),2022-11-22,248,62,4847
VPN,Unmatched (UK),2022-11-29,201,48,4895
VPN,Unmatched (UK),2022-12-06,235,75,4970
VPN,Unmatched (UK),2022-12-13,272,89,5059
VPN,Unmatched (UK),2022-12-20,271,77,5136
VPN,Unmatched (UK),2022-12-27,309,113,5249
VPN,Unmatched (UK),2023-01-03,241,63,5312
VPN,Unmatched (UK),2023-01-10,240,60,5372
VPN,Unmatched (UK),2023-01-17,271,76,5448
VPN,Unmatched (UK),2023-01-24,276,64,5512
VPN,Unmatched (UK),2023-01-31,224,62,5574
VPN,Unmatched (UK),2023-02-07,284,75,5649
VPN,Unmatched (UK),2023-02-14,245,56,5705
VPN,Unmatched (UK),2023-02-21,265,68,5773
VPN,Unmatched (UK),2023-02-28,246,59,5832
VPN,Unmatched (UK),2023-03-07,232,61,5893
VPN,Unmatched (UK),2023-03-14,216,59,5952
VPN,Unmatched (UK),2023-03-21,250,56,6008
VPN,Unmatched (UK),2023-03-28,252,75,6083
VPN,Unmatched (UK),2023-04-04,225,41,6124
VPN,Unmatched (UK),2023-04-11,242,75,6199
